Label,Feature0,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,Feature32,Feature33,Feature34,Feature35,Feature36,Feature37,Feature38,Feature39,Feature40,Feature41,,,,
A,0.711294381,1.003882574,0.403777387,0.835382884,0.204379714,0.492904732,0.119985971,0.207444368,0.001238811,0.005066312,0.337601581,0.194072169,0.321655917,0.06136816,0.372794462,0.324034137,0.418993433,0.556588019,0.568969175,0.18716614,0.551816596,0.067256471,0.587734728,0.396765281,0.606908867,0.651978636,0.792478492,0.230978423,0.78265266,0.158355981,0.75580914,0.484951088,0.72017757,0.718812474,1.000031575,0.308546752,1.001003403,0.226116911,0.927599206,0.446405399,0.862158994,0.61331645,,,,
A,0.717028618,1.006191906,0.404365063,0.845371089,0.203719378,0.493460921,0.128634214,0.199484656,0.005835533,0.001732832,0.330548286,0.194460845,0.328268051,0.05889589,0.394420624,0.320265728,0.441162825,0.552139415,0.56594944,0.181992398,0.574453115,0.065118524,0.599215508,0.398395828,0.595446825,0.656992466,0.787058592,0.220926665,0.796246529,0.163557632,0.760736465,0.483409133,0.710288048,0.713194545,0.990268469,0.296071433,1.002659798,0.240384699,0.922030926,0.460997726,0.841312647,0.624129996,,,,
A,0.700161357,1.004631126,0.397814574,0.846807024,0.203799778,0.485718397,0.129546695,0.195496409,0.006011256,0.000197045,0.327043463,0.198663867,0.321898566,0.060372814,0.387495818,0.321781332,0.43346763,0.548975255,0.554695883,0.196057188,0.56326812,0.068758131,0.594831443,0.402551159,0.596281028,0.653160035,0.774731389,0.239228495,0.793973004,0.156529457,0.762216592,0.479586271,0.711012051,0.706634533,0.977370227,0.312554353,1.003539286,0.2316583,0.926028405,0.452428146,0.845027076,0.613851019,,,,
A,0.714945159,1.000857902,0.40408003,0.842070413,0.206135388,0.485223961,0.127009801,0.197315466,0.004515843,0.001711619,0.326940691,0.18631528,0.322233686,0.060983521,0.389635359,0.319737118,0.438975743,0.546074522,0.55994311,0.177245748,0.570601043,0.069794577,0.599067451,0.399907362,0.600316824,0.648393464,0.781588868,0.220766914,0.798472576,0.160450381,0.765018866,0.484474015,0.715308622,0.711962712,0.984907968,0.298908246,1.001385564,0.240978789,0.92306983,0.459838283,0.844561938,0.617051494,,,,
A,0.712574076,1.006062262,0.400076683,0.844363902,0.20063578,0.486290866,0.124481154,0.197391246,0.001432525,0.003513936,0.323146086,0.206885614,0.315759552,0.068316556,0.388009681,0.319160072,0.437179945,0.532120315,0.552074361,0.195724475,0.560459824,0.079290828,0.589887963,0.405904938,0.584866542,0.649281904,0.770358921,0.234103569,0.789643282,0.161189949,0.754244787,0.477715354,0.701376637,0.703279843,0.971468813,0.308339197,1.004466181,0.232135581,0.926302797,0.444065586,0.841022752,0.603226452,,,,
A,0.717601446,1.005407369,0.406466731,0.844920254,0.20558548,0.483871496,0.127408675,0.194225377,0.002543744,0.002837336,0.327545825,0.209844685,0.329608352,0.062026715,0.397643007,0.320009446,0.441121372,0.544347978,0.556347364,0.208891606,0.569955944,0.067568427,0.594826592,0.399055755,0.586394934,0.651189303,0.774788939,0.250554538,0.793216988,0.153499877,0.759505896,0.47286067,0.70676441,0.70427773,0.975496645,0.322770512,1.001480621,0.230157501,0.924722318,0.445716536,0.841035866,0.610599434,,,,
A,0.710471771,1.000161485,0.397609495,0.841986366,0.194133543,0.492263628,0.121266107,0.201923554,0.003394121,0.005073447,0.326572634,0.201293329,0.324876413,0.065192157,0.391753095,0.32163524,0.437460605,0.546423681,0.561291677,0.196152462,0.570525643,0.065447339,0.59902551,0.393130782,0.595533263,0.643294364,0.784579343,0.237354747,0.793794836,0.156997142,0.760105061,0.474397339,0.707885694,0.701534484,0.989928575,0.313829979,1.004400673,0.233484813,0.923746457,0.451118742,0.840191631,0.614528111,,,,
A,0.687005433,1.005057275,0.388640206,0.842722289,0.191891556,0.493942949,0.113143489,0.20542481,0.001438117,0.001195938,0.325132454,0.173132009,0.320826165,0.058405985,0.384508577,0.320335171,0.433533195,0.550323209,0.560723119,0.163253241,0.573381676,0.072454241,0.603152869,0.404100309,0.605319569,0.657771461,0.784208238,0.208642374,0.797468269,0.168534363,0.762249737,0.482987223,0.715485147,0.704230127,0.988441611,0.291358893,1.003122438,0.241964781,0.920140056,0.461612665,0.844888795,0.6215223,,,,
A,0.687989892,1.000634122,0.389837656,0.840541291,0.193802259,0.482971001,0.119050067,0.197047967,0.00156758,0.000197697,0.326652764,0.20278244,0.318883339,0.06595062,0.381900953,0.328023809,0.426600912,0.555086482,0.556919027,0.202237326,0.564753136,0.066142309,0.593858565,0.399155545,0.594860338,0.653313446,0.778035229,0.244721729,0.796239391,0.147872615,0.764805575,0.469463396,0.717114277,0.700718272,0.981845974,0.318809527,1.005245232,0.229020792,0.926686873,0.444527256,0.847069877,0.606446314,,,,
A,0.709896755,1.00330596,0.400335026,0.848199892,0.192857933,0.491784918,0.115878296,0.200142431,0.000766706,0.000135112,0.322730255,0.2085356,0.31603117,0.063043642,0.382045937,0.320039767,0.430162859,0.547794271,0.55581398,0.203412223,0.565031719,0.072397846,0.596177769,0.401096392,0.595455122,0.656901884,0.778192234,0.242224503,0.794279528,0.160873818,0.764284801,0.478818047,0.716502619,0.710330415,0.985026073,0.313337821,1.003685188,0.234448242,0.924660397,0.453160393,0.843620014,0.620166707,,,,
